Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
1,http-192.168.1.57-2020-subjects-lvl1-knockback,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939,511939.0
1,http-192.168.1.57-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-1,360398,360398,360398,360398,615398,360398,360398,360398,360398,360398,360398,360398,360398,360398,360398,360398,360398,360398,360398,360398,373148.0
1,http-192.168.1.57-2020-lacunaWebPages-www.amazon.in-www.amazon.in-1,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576,257576.0
1,http-192.168.1.57-2020-subjects-lvl1-backbone_require,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272,484272.0
1,http-192.168.1.57-2020-subjects-lvl1-vanilla_es6,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774,40774.0
1,http-192.168.1.57-2020-subjects-lvl1-knockoutjs_require,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850,150850.0
1,http-192.168.1.57-2020-subjects-lvl1-backbone,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675,274675.0
1,http-192.168.1.57-2020-subjects-lvl1-jsblocks,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429,399429.0
1,http-192.168.1.57-2020-subjects-lvl1-dojo,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418,203418.0
1,http-192.168.1.57-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-1,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765,105765.0
1,http-192.168.1.57-2020-subjects-lvl1-jquery,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673,273673.0
1,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-1,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180,548180.0
1,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-1,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073,355073.0
1,http-192.168.1.57-2020-subjects-lvl1-canjs,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238,542238.0
1,http-192.168.1.57-2020-lacunaWebPages-stackexchange.com-stackexchange.com-1,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035,131035.0
1,http-192.168.1.57-2020-subjects-lvl1-canjs_require,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523,754523.0
1,http-192.168.1.57-2020-lacunaWebPages-www.bbc.com-www.bbc.com-1,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407,350407.0
1,http-192.168.1.57-2020-lacunaWebPages-www.booking.com-www.booking.com-1,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624,843624.0
1,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-1,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935,349935.0
1,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-1,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608,1238608.0
1,http-192.168.1.57-2020-subjects-lvl1-dijon,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426,271426.0
1,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-1,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813,291813.0
1,http-192.168.1.57-2020-subjects-lvl1-polymer,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271,210271.0
1,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-1,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599,233599.0
1,http-192.168.1.57-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-1,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271,365271.0
1,http-192.168.1.57-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-1,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522,712522.0
1,http-192.168.1.57-2020-subjects-lvl1-enyo_backbone,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631,488631.0
1,http-192.168.1.57-2020-subjects-lvl1-angularjs_require,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277,1048277.0
1,http-192.168.1.57-2020-subjects-lvl1-exoskeleton,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977,99977.0
1,http-192.168.1.57-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-1,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932,288932.0
1,http-192.168.1.57-2020-subjects-lvl1-gwt,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849,133849.0
1,http-192.168.1.57-2020-subjects-lvl1-vue,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453,209453.0
1,http-192.168.1.57-2020-subjects-lvl1-vanillajs,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299,44299.0
1,http-192.168.1.57-2020-subjects-lvl1-mithril,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542,61542.0
1,http-192.168.1.57-2020-subjects-lvl1-reagent,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306,2592306.0
1,http-192.168.1.57-2020-lacunaWebPages-m.youtube.com-m.youtube.com-1,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647,467647.0
