Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
0,http-192.168.1.57-2020-lacunaWebPages-apache.org-apache.org-0,1619889929704,1619906117594,1619909860369,1619919625431,1619934846559,1619951673908,1619954147733,1620113943115,1620126922222,1620141763371,1620157387088,1620162822223,1620234879999,1620249070423,1620257553341,1620319531067,1620319856885,1620419013631,1620471680456,1620572430312,1620150652771.55
0,http-192.168.1.57-2020-subjects-lvl0-reagent,1619876996106,1619898540428,1619956426154,1619989046486,1620079851391,1620137481737,1620256251614,1620273592798,1620274243696,1620277481785,1620283870601,1620289474076,1620289636990,1620300338203,1620468425634,1620481695831,1620486154706,1620547873407,1620561272349,1620576178569,1620265241628.05
0,http-192.168.1.57-2020-subjects-lvl0-backbone,1619865116436,1619865361110,1619880693472,1619899029023,1619957239546,1619977462907,1619997654385,1620020824412,1620021800818,1620047975055,1620066530080,1620075291353,1620079200031,1620128344816,1620241864225,1620306453666,1620311482821,1620387031192,1620477800652,1620502551730,1620105485386.5
0,http-192.168.1.57-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-0,1619888139541,1619942454151,1619976160439,1620039046227,1620078711863,1620079688530,1620122688460,1620145386767,1620204338220,1620314413451,1620380482439,1620392891794,1620397811972,1620496923659,1620501901164,1620553084992,1620553247862,1620567218391,1620574223006,1620576015195,1620289241406.15
0,http-192.168.1.57-2020-subjects-lvl0-angularjs_require,1619871808698,1619875280769,1619899848847,1619920927701,1619970066027,1619994563792,1620037906262,1620061482977,1620136667738,1620181036890,1620294748183,1620324660119,1620412175090,1620412663582,1620464227806,1620464878523,1620469564306,1620499692546,1620558416256,1620583023410,1620221681976.1
0,http-192.168.1.57-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-0,1619861088676,1619974798956,1620046640912,1620055797367,1620150043420,1620156103090,1620161519144,1620165579059,1620180386316,1620218240457,1620253484733,1620257878667,1620286379716,1620292079057,1620318553987,1620399927551,1620471029180,1620493986080,1620495784618,1620548198360,1620239374967.3
0,http-192.168.1.57-2020-lacunaWebPages-www.amazon.com-www.amazon.com-0,1619867639297,1619907419686,1619908883419,1619954310567,1619973322340,1619981691437,1619994238168,1619997980074,1620114105953,1620117357468,1620140298552,1620182664245,1620213725175,1620213887747,1620252441768,1620281063378,1620338040808,1620411686526,1620416246085,1620476400271,1620137170148.2
0,http-192.168.1.57-2020-lacunaWebPages-stackexchange.com-stackexchange.com-0,1619860925991,1619894959413,1619897074520,1619919136346,1619933545555,1619950181399,1620039860087,1620040022995,1620054788839,1620073500813,1620080013688,1620130990257,1620275545934,1620305627112,1620323030454,1620381622264,1620397974668,1620404775551,1620495947143,1620584327775,1620152192540.2
0,http-192.168.1.57-2020-lacunaWebPages-www.paypal.com-www.paypal.com-0,1619944237472,1620025706659,1620038557894,1620038720727,1620115832072,1620124153514,1620154850652,1620169321818,1620209872069,1620230771371,1620232562682,1620233864130,1620332278041,1620384881749,1620467937934,1620480230420,1620501738450,1620568358864,1620573571594,1620583839063,1620270564358.75
0,http-192.168.1.57-2020-subjects-lvl0-exoskeleton,1619866012188,1619890255712,1619901595754,1619949680254,1619961693514,1620023917158,1620024079975,1620045168106,1620071218804,1620115669040,1620130454047,1620131369580,1620147132367,1620231097097,1620248418746,1620255926284,1620277155681,1620297895297,1620409569806,1620570964751,1620127463708.05
0,http-192.168.1.57-2020-subjects-lvl0-canjs_require,1619874954884,1619900337052,1619922718195,1620031488514,1620036603350,1620038232648,1620066041661,1620070079612,1620073989276,1620158201209,1620206454720,1620220326208,1620223382228,1620290450824,1620382137847,1620391426552,1620465529486,1620465692543,1620494474200,1620566239957,1620193938048.3
0,http-192.168.1.57-2020-subjects-lvl0-jquery,1619884018648,1619915555943,1619935334499,1619955775792,1619990999914,1620018220997,1620020498616,1620059792166,1620167531967,1620205478103,1620215473638,1620215799093,1620255275068,1620255438031,1620284033444,1620311808035,1620405266532,1620480719320,1620487955449,1620579438096,1620182220667.55
0,http-192.168.1.57-2020-subjects-lvl0-vanilla_es6,1619877321807,1619915881443,1620025219084,1620041813202,1620059955040,1620215148153,1620215310762,1620221464738,1620221952570,1620222766823,1620224196026,1620254786617,1620294910913,1620311157043,1620327215765,1620338203317,1620395657590,1620402245786,1620495133327,1620573245738,1620231679287.2
0,http-192.168.1.57-2020-subjects-lvl0-dojo,1619896911676,1619973647849,1620038395469,1620075454646,1620080339324,1620214213128,1620283219272,1620287845552,1620297080823,1620301315000,1620308654673,1620399602044,1620416897269,1620464553266,1620480556425,1620499041200,1620564528186,1620580742360,1620581068790,1620588403266,1620316623510.9
0,http-192.168.1.57-2020-lacunaWebPages-www.office.com-www.office.com-0,1619881834028,1619905466057,1619959681523,1619972834009,1620075617487,1620080176336,1620230934371,1620277807392,1620278784384,1620317739785,1620322867495,1620334882947,1620379179371,1620415431392,1620418362254,1620490373079,1620493335049,1620556134338,1620565913713,1620566565684,1620276196034.7
0,http-192.168.1.57-2020-subjects-lvl0-jsblocks,1619864628246,1619902152922,1619917833500,1619921090901,1619922067704,1619954799074,1619956588975,1620024405494,1620036766060,1620063273381,1620064575264,1620080664829,1620113780420,1620118171509,1620149880689,1620217589578,1620217752109,1620301640566,1620563877230,1620582371298,1620098695487.45
